 1.000000e+00 -3.293584e+01  1.000000e+00 -5.396827e-08 
 1.002305e+00 -3.293584e+01  1.002305e+00 -3.099282e-06 
 1.004616e+00 -3.293584e+01  1.004616e+00 -3.106427e-06 
 1.006932e+00 -3.293584e+01  1.006932e+00 -3.113588e-06 
 1.009253e+00 -3.293584e+01  1.009253e+00 -3.120765e-06 
 1.011579e+00 -3.293584e+01  1.011579e+00 -3.127959e-06 
 1.013911e+00 -3.293584e+01  1.013911e+00 -3.135170e-06 
 1.016249e+00 -3.293584e+01  1.016249e+00 -3.142397e-06 
 1.018591e+00 -3.293584e+01  1.018591e+00 -3.149641e-06 
 1.020939e+00 -3.293584e+01  1.020939e+00 -3.156902e-06 
 1.023293e+00 -3.293584e+01  1.023293e+00 -3.164180e-06 
 1.025652e+00 -3.293584e+01  1.025652e+00 -3.171474e-06 
 1.028016e+00 -3.293584e+01  1.028016e+00 -3.178785e-06 
 1.030386e+00 -3.293584e+01  1.030386e+00 -3.186113e-06 
 1.032761e+00 -3.293584e+01  1.032761e+00 -3.193457e-06 
 1.035142e+00 -3.293584e+01  1.035142e+00 -3.200819e-06 
 1.037528e+00 -3.293584e+01  1.037528e+00 -3.208198e-06 
 1.039920e+00 -3.293584e+01  1.039920e+00 -3.215593e-06 
 1.042317e+00 -3.293584e+01  1.042317e+00 -3.223006e-06 
 1.044720e+00 -3.293584e+01  1.044720e+00 -3.230436e-06 
 1.047129e+00 -3.293584e+01  1.047129e+00 -3.237883e-06 
 1.049542e+00 -3.293584e+01  1.049542e+00 -3.245347e-06 
 1.051962e+00 -3.293584e+01  1.051962e+00 -3.252828e-06 
 1.054387e+00 -3.293584e+01  1.054387e+00 -3.260327e-06 
 1.056818e+00 -3.293584e+01  1.056818e+00 -3.267843e-06 
 1.059254e+00 -3.293584e+01  1.059254e+00 -3.275376e-06 
 1.061696e+00 -3.293584e+01  1.061696e+00 -3.282926e-06 
 1.064143e+00 -3.293584e+01  1.064143e+00 -3.290494e-06 
 1.066596e+00 -3.293584e+01  1.066596e+00 -3.298079e-06 
 1.069055e+00 -3.293584e+01  1.069055e+00 -3.305682e-06 
 1.071519e+00 -3.293584e+01  1.071519e+00 -3.313303e-06 
 1.073989e+00 -3.293584e+01  1.073989e+00 -3.320941e-06 
 1.076465e+00 -3.293584e+01  1.076465e+00 -3.328596e-06 
 1.078947e+00 -3.293584e+01  1.078947e+00 -3.336269e-06 
 1.081434e+00 -3.293584e+01  1.081434e+00 -3.343960e-06 
 1.083927e+00 -3.293584e+01  1.083927e+00 -3.351669e-06 
 1.086426e+00 -3.293584e+01  1.086426e+00 -3.359395e-06 
 1.088930e+00 -3.293584e+01  1.088930e+00 -3.367140e-06 
 1.091440e+00 -3.293584e+01  1.091440e+00 -3.374902e-06 
 1.093956e+00 -3.293584e+01  1.093956e+00 -3.382682e-06 
 1.096478e+00 -3.293584e+01  1.096478e+00 -3.390479e-06 
 1.099006e+00 -3.293584e+01  1.099006e+00 -3.398295e-06 
 1.101539e+00 -3.293584e+01  1.101539e+00 -3.406129e-06 
 1.104079e+00 -3.293584e+01  1.104079e+00 -3.413981e-06 
 1.106624e+00 -3.293584e+01  1.106624e+00 -3.421851e-06 
 1.109175e+00 -3.293584e+01  1.109175e+00 -3.429739e-06 
 1.111732e+00 -3.293584e+01  1.111732e+00 -3.437646e-06 
 1.114295e+00 -3.293584e+01  1.114295e+00 -3.445570e-06 
 1.116863e+00 -3.293584e+01  1.116863e+00 -3.453513e-06 
 1.119438e+00 -3.293584e+01  1.119438e+00 -3.461474e-06 
 1.122018e+00 -3.293584e+01  1.122018e+00 -3.469454e-06 
 1.124605e+00 -3.293584e+01  1.124605e+00 -3.477452e-06 
 1.127197e+00 -3.293584e+01  1.127197e+00 -3.485468e-06 
 1.129796e+00 -3.293584e+01  1.129796e+00 -3.493503e-06 
 1.132400e+00 -3.293584e+01  1.132400e+00 -3.501556e-06 
 1.135011e+00 -3.293584e+01  1.135011e+00 -3.509628e-06 
 1.137627e+00 -3.293584e+01  1.137627e+00 -3.517719e-06 
 1.140250e+00 -3.293584e+01  1.140250e+00 -3.525828e-06 
 1.142878e+00 -3.293584e+01  1.142878e+00 -3.533956e-06 
 1.145513e+00 -3.293584e+01  1.145513e+00 -3.542102e-06 
 1.148154e+00 -3.293584e+01  1.148154e+00 -3.550268e-06 
 1.150800e+00 -3.293584e+01  1.150800e+00 -3.558452e-06 
 1.153453e+00 -3.293584e+01  1.153453e+00 -3.566655e-06 
 1.156112e+00 -3.293584e+01  1.156112e+00 -3.574877e-06 
 1.158777e+00 -3.293584e+01  1.158777e+00 -3.583118e-06 
 1.161449e+00 -3.293584e+01  1.161449e+00 -3.591378e-06 
 1.164126e+00 -3.293584e+01  1.164126e+00 -3.599657e-06 
 1.166810e+00 -3.293584e+01  1.166810e+00 -3.607955e-06 
 1.169499e+00 -3.293584e+01  1.169499e+00 -3.616272e-06 
 1.172195e+00 -3.293584e+01  1.172195e+00 -3.624609e-06 
 1.174898e+00 -3.293584e+01  1.174898e+00 -3.632964e-06 
 1.177606e+00 -3.293584e+01  1.177606e+00 -3.641339e-06 
 1.180321e+00 -3.293584e+01  1.180321e+00 -3.649733e-06 
 1.183042e+00 -3.293584e+01  1.183042e+00 -3.658147e-06 
 1.185769e+00 -3.293584e+01  1.185769e+00 -3.666580e-06 
 1.188502e+00 -3.293584e+01  1.188502e+00 -3.675032e-06 
 1.191242e+00 -3.293584e+01  1.191242e+00 -3.683504e-06 
 1.193988e+00 -3.293584e+01  1.193988e+00 -3.691995e-06 
 1.196741e+00 -3.293584e+01  1.196741e+00 -3.700506e-06 
 1.199499e+00 -3.293584e+01  1.199499e+00 -3.709037e-06 
 1.202264e+00 -3.293584e+01  1.202264e+00 -3.717587e-06 
 1.205036e+00 -3.293584e+01  1.205036e+00 -3.726157e-06 
 1.207814e+00 -3.293584e+01  1.207814e+00 -3.734746e-06 
 1.210598e+00 -3.293584e+01  1.210598e+00 -3.743356e-06 
 1.213389e+00 -3.293584e+01  1.213389e+00 -3.751985e-06 
 1.216186e+00 -3.293584e+01  1.216186e+00 -3.760634e-06 
 1.218990e+00 -3.293584e+01  1.218990e+00 -3.769304e-06 
 1.221800e+00 -3.293584e+01  1.221800e+00 -3.777993e-06 
 1.224616e+00 -3.293584e+01  1.224616e+00 -3.786702e-06 
 1.227439e+00 -3.293584e+01  1.227439e+00 -3.795431e-06 
 1.230269e+00 -3.293584e+01  1.230269e+00 -3.804181e-06 
 1.233105e+00 -3.293584e+01  1.233105e+00 -3.812950e-06 
 1.235947e+00 -3.293584e+01  1.235947e+00 -3.821740e-06 
 1.238797e+00 -3.293584e+01  1.238797e+00 -3.830550e-06 
 1.241652e+00 -3.293584e+01  1.241652e+00 -3.839380e-06 
 1.244515e+00 -3.293584e+01  1.244515e+00 -3.848231e-06 
 1.247384e+00 -3.293584e+01  1.247384e+00 -3.857102e-06 
 1.250259e+00 -3.293584e+01  1.250259e+00 -3.865994e-06 
 1.253141e+00 -3.293584e+01  1.253141e+00 -3.874906e-06 
 1.256030e+00 -3.293584e+01  1.256030e+00 -3.883838e-06 
 1.258925e+00 -3.293584e+01  1.258925e+00 -3.892791e-06 
 1.261828e+00 -3.293584e+01  1.261828e+00 -3.901765e-06 
 1.264736e+00 -3.293584e+01  1.264736e+00 -3.910760e-06 
 1.267652e+00 -3.293584e+01  1.267652e+00 -3.919775e-06 
 1.270574e+00 -3.293584e+01  1.270574e+00 -3.928811e-06 
 1.273503e+00 -3.293584e+01  1.273503e+00 -3.937868e-06 
 1.276439e+00 -3.293584e+01  1.276439e+00 -3.946945e-06 
 1.279381e+00 -3.293584e+01  1.279381e+00 -3.956044e-06 
 1.282331e+00 -3.293584e+01  1.282331e+00 -3.965164e-06 
 1.285287e+00 -3.293584e+01  1.285287e+00 -3.974304e-06 
 1.288250e+00 -3.293584e+01  1.288250e+00 -3.983466e-06 
 1.291219e+00 -3.293584e+01  1.291219e+00 -3.992649e-06 
 1.294196e+00 -3.293584e+01  1.294196e+00 -4.001853e-06 
 1.297179e+00 -3.293584e+01  1.297179e+00 -4.011078e-06 
 1.300170e+00 -3.293584e+01  1.300170e+00 -4.020325e-06 
 1.303167e+00 -3.293584e+01  1.303167e+00 -4.029592e-06 
 1.306171e+00 -3.293584e+01  1.306171e+00 -4.038882e-06 
 1.309182e+00 -3.293584e+01  1.309182e+00 -4.048192e-06 
 1.312200e+00 -3.293584e+01  1.312200e+00 -4.057524e-06 
 1.315225e+00 -3.293584e+01  1.315225e+00 -4.066878e-06 
 1.318257e+00 -3.293584e+01  1.318257e+00 -4.076253e-06 
 1.321296e+00 -3.293584e+01  1.321296e+00 -4.085650e-06 
 1.324342e+00 -3.293584e+01  1.324342e+00 -4.095068e-06 
 1.327394e+00 -3.293584e+01  1.327394e+00 -4.104508e-06 
 1.330454e+00 -3.293584e+01  1.330454e+00 -4.113970e-06 
 1.333521e+00 -3.293584e+01  1.333521e+00 -4.123454e-06 
 1.336596e+00 -3.293584e+01  1.336596e+00 -4.132959e-06 
 1.339677e+00 -3.293584e+01  1.339677e+00 -4.142487e-06 
 1.342765e+00 -3.293584e+01  1.342765e+00 -4.152036e-06 
 1.345860e+00 -3.293584e+01  1.345860e+00 -4.161608e-06 
 1.348963e+00 -3.293584e+01  1.348963e+00 -4.171201e-06 
 1.352073e+00 -3.293584e+01  1.352073e+00 -4.180817e-06 
 1.355189e+00 -3.293584e+01  1.355189e+00 -4.190454e-06 
 1.358313e+00 -3.293584e+01  1.358313e+00 -4.200114e-06 
 1.361445e+00 -3.293584e+01  1.361445e+00 -4.209797e-06 
 1.364583e+00 -3.293584e+01  1.364583e+00 -4.219501e-06 
 1.367729e+00 -3.293584e+01  1.367729e+00 -4.229228e-06 
 1.370882e+00 -3.293584e+01  1.370882e+00 -4.238978e-06 
 1.374042e+00 -3.293584e+01  1.374042e+00 -4.248749e-06 
 1.377209e+00 -3.293584e+01  1.377209e+00 -4.258544e-06 
 1.380384e+00 -3.293584e+01  1.380384e+00 -4.268361e-06 
 1.383566e+00 -3.293584e+01  1.383566e+00 -4.278200e-06 
 1.386756e+00 -3.293584e+01  1.386756e+00 -4.288063e-06 
 1.389953e+00 -3.293584e+01  1.389953e+00 -4.297948e-06 
 1.393157e+00 -3.293584e+01  1.393157e+00 -4.307855e-06 
 1.396368e+00 -3.293584e+01  1.396368e+00 -4.317786e-06 
 1.399587e+00 -3.293584e+01  1.399587e+00 -4.327740e-06 
 1.402814e+00 -3.293584e+01  1.402814e+00 -4.337716e-06 
 1.406048e+00 -3.293584e+01  1.406048e+00 -4.347716e-06 
 1.409289e+00 -3.293584e+01  1.409289e+00 -4.357738e-06 
 1.412538e+00 -3.293584e+01  1.412538e+00 -4.367784e-06 
 1.415794e+00 -3.293584e+01  1.415794e+00 -4.377852e-06 
 1.419058e+00 -3.293584e+01  1.419058e+00 -4.387944e-06 
 1.422329e+00 -3.293584e+01  1.422329e+00 -4.398060e-06 
 1.425608e+00 -3.293584e+01  1.425608e+00 -4.408198e-06 
 1.428894e+00 -3.293584e+01  1.428894e+00 -4.418360e-06 
 1.432188e+00 -3.293584e+01  1.432188e+00 -4.428546e-06 
 1.435489e+00 -3.293584e+01  1.435489e+00 -4.438754e-06 
 1.438799e+00 -3.293584e+01  1.438799e+00 -4.448987e-06 
 1.442115e+00 -3.293584e+01  1.442115e+00 -4.459243e-06 
 1.445440e+00 -3.293584e+01  1.445440e+00 -4.469522e-06 
 1.448772e+00 -3.293584e+01  1.448772e+00 -4.479826e-06 
 1.452112e+00 -3.293584e+01  1.452112e+00 -4.490153e-06 
 1.455459e+00 -3.293584e+01  1.455459e+00 -4.500504e-06 
 1.458814e+00 -3.293584e+01  1.458814e+00 -4.510878e-06 
 1.462177e+00 -3.293584e+01  1.462177e+00 -4.521277e-06 
 1.465548e+00 -3.293584e+01  1.465548e+00 -4.531700e-06 
 1.468926e+00 -3.293584e+01  1.468926e+00 -4.542146e-06 
